Timestamp,Temperature (°C),Humidity (%),Pressure (hPa),Location
2024-09-29 00:25:32,21.23,68.93,814.18,9999.0
2024-09-29 00:26:03,21.22,68.93,814.18,9999.0
2024-09-29 00:26:35,21.18,69.06,814.18,9999.0
2024-09-29 00:27:07,21.21,68.91,814.17,9999.0
2024-09-29 00:27:39,21.23,68.86,814.16,9999.0
2024-09-29 00:28:11,21.22,68.8,814.17,9999.0
2024-09-29 00:28:42,21.22,68.81,814.17,9999.0
2024-09-29 00:29:14,21.25,69.09,814.17,9999.0
2024-09-29 00:29:46,21.22,69.0,814.16,9999.0
2024-09-29 00:30:18,21.22,68.91,814.16,9999.0
2024-09-29 00:30:50,21.24,68.92,814.15,9999.0
