Timestamp,Temperature (°C),Humidity (%),Pressure (hPa)
2024-09-23 15:14:52,21.74,58.83,815.1599
2024-09-23 15:14:57,21.72,58.80,815.1599
2024-09-23 15:15:03,21.72,58.88,815.1599
2024-09-23 15:15:08,21.72,58.86,815.1599
2024-09-23 15:15:13,21.71,58.97,815.1599
2024-09-23 15:15:19,21.71,58.91,815.1599
2024-09-23 15:15:24,21.74,58.98,815.1699
2024-09-23 15:15:29,21.76,58.99,815.1699
2024-09-23 15:15:35,21.75,58.90,815.1699
2024-09-23 15:15:40,21.73,58.95,815.1599
2024-09-23 15:15:45,21.74,58.97,815.1499
2024-09-23 15:16:19,21.95,58.94,815.0999
2024-09-23 15:16:24,21.95,58.68,815.1199
2024-09-23 15:16:30,21.96,58.56,815.1199
2024-09-23 15:16:35,21.97,58.46,815.1299
2024-09-23 15:16:40,21.93,58.46,815.1299
2024-09-23 15:16:46,21.90,58.47,815.1299
2024-09-23 15:16:51,21.93,58.46,815.1299
2024-09-23 15:16:56,21.91,58.51,815.1199
2024-09-23 15:17:02,21.90,58.55,815.1099
2024-09-23 15:17:07,21.91,58.57,815.1099
2024-09-23 15:17:12,21.90,58.54,815.1099
2024-09-23 15:17:18,21.91,58.70,815.1099
2024-09-23 15:36:34,21.64,58.03,814.9499
2024-09-23 15:36:39,21.57,58.50,814.9899
2024-09-23 15:36:44,21.55,58.71,815.0199
2024-09-23 15:36:50,21.52,59.00,815.0399
2024-09-23 15:36:55,21.48,59.14,815.0299
2024-09-23 15:37:00,21.45,59.18,815.0399
2024-09-23 15:37:05,21.42,59.23,815.0399
2024-09-23 15:37:11,21.36,59.26,815.0399
