Time,Mois_beans,Mois_Maize,Mois_Onion,Mois_Rice,Temp_beans,Temp_Maize,Temp_Onion,Temp_Rice,Temp_Surr,Humid_beans,Humid_Maize,Humid_Onion,Humid_Surr,water_level
2023-07-18,33.5,33.5,33.5,39,18,18,18,18,18,92,92,92,80,1
2023-07-18,34.3,34.3,34.3,38,18,18,18,18,18,92,92,92,80,1
2023-07-18,34.7,34.7,34.7,39,18,18,18,18,18,92,92,92,80,1
2023-07-18,35.5,35.5,35.5,38,18,18,18,18,18,92,92,92,80,0
2023-07-18,36.6,36.6,36.6,37,18,18,18,18,18,92,92,92,80,1
2023-07-18,34.1,34.1,34.1,36,18,18,18,18,18,92,92,92,80,0
2023-07-18,34.1,34.1,34.1,39,18,18,18,18,18,92,92,92,80,0
2023-07-18,34.7,34.7,34.7,36,18,17.9,18,18,18,92,92,92,80,0
2023-07-18,34.9,34.9,34.9,37,18,17.8,18,18,17,92,92,92,80,1
2023-07-18,35.9,35.9,35.9,38,18,17.8,18,18,18,92,92,92,81,0
2023-07-18,35.3,35.3,35.3,36,18,17.8,18,18,18,92,92,92,81,0
2023-07-18,35.6,35.6,35.6,36,18,17.9,18,18,17,92,92,92,81,1
2023-07-18,35.3,35.3,35.3,35,18,18,18,17,17,92,92,92,82,0
2023-07-18,36,36,36,36,18,18,18,17,17,92,92,92,82,0
2023-07-18,35.3,35.3,35.3,36,17,18,17,17,17,92,92,92,81,1
2023-07-18,35.2,35.2,35.2,36,17,18,17,17,17,92,92,92,82,1
2023-07-18,35.6,35.6,35.6,36,17,18,17,17,17,92,92,92,81,0
2023-07-18,36.9,36.9,36.9,37,17,18,17,17,17,92,92,92,81,1
2023-07-18,35.7,35.7,35.7,36,18,18,18,17,17,92,92,92,82,0
2023-07-18,36.7,36.7,36.7,37,18,18,18,17,17,92,92,92,82,1
2023-07-18,36.5,36.5,36.5,36,17,18,17,17,17,92,92,92,82,0
2023-07-18,36.3,36.3,36.3,35,17,18,17,17,17,92,92,92,82,0
2023-07-18,37,37,37,37,17,18,17,17,17,92,92,92,82,1
2023-07-18,37,37,37,36,17,18,17,17,17,92,92,92,82,0
2023-07-19,37.3,37.3,37.3,35,17,18,17,17,17,92,92,92,82,0
2023-07-19,37.2,37.2,37.2,36,17,18,17,17,17,92,92,92,82,1
2023-07-19,36.9,36.9,36.9,34,17,18,17,17,17,92,92,92,82,0
2023-07-19,36.7,36.7,36.7,35,17,18,17,17,18,92,92,92,83,0
2023-07-19,37.4,37.4,37.4,36,17,18,17,17,17,92,92,92,82,1
2023-07-19,38.4,38.4,38.4,36,17,18,17,17,17,92,92,92,82,1
2023-07-19,37.6,37.6,37.6,36,17,18,17,17,18,92,92,92,83,1
2023-07-19,38.1,38.1,38.1,35,17,17.8,17,17,18,92,92,92,83,0
2023-07-19,38.6,38.6,38.6,36,17,17.9,17,17,18,92,92,92,83,0
2023-07-19,36.5,36.5,36.5,43,17,17.9,17,17,18,92,92,92,83,1
