Time,Mois_beans,Mois_Maize,Mois_Onion,Mois_Rice,Temp_beans,Temp_Maize,Temp_Onion,Temp_Rice,Temp_Surr,Humid_beans,Humid_Maize,Humid_Onion,Humid_Surr,water_level
2023-07-18,34,34,34,39,18,18,18,18,18,92,92,92,80,2
2023-07-18,34,34,34,38,18,18,18,18,18,92,92,92,80,2
2023-07-18,35,35,35,39,18,18,18,18,18,92,92,92,80,2
2023-07-18,36,36,36,38,18,18,18,18,18,92,92,92,80,2
2023-07-18,37,37,37,37,18,18,18,18,18,92,92,92,80,2
2023-07-18,34,34,34,36,18,18,18,18,18,92,92,92,80,2
2023-07-18,34,34,34,39,18,18,18,18,18,92,92,92,80,2
2023-07-18,35,35,35,36,18,18,18,18,18,92,92,92,80,2
2023-07-18,35,35,35,37,18,18,18,18,17,92,92,92,80,2
2023-07-18,36,36,36,38,18,18,18,18,18,92,92,92,81,3
2023-07-18,35,35,35,36,18,18,18,18,18,92,92,92,81,3
2023-07-18,36,36,36,36,18,18,18,18,17,92,92,92,81,2
2023-07-18,35,35,35,35,18,18,18,17,17,92,92,92,82,3
2023-07-18,36,36,36,36,18,18,18,17,17,92,92,92,82,3
2023-07-18,35,35,35,36,17,18,17,17,17,92,92,92,81,2
2023-07-18,35,35,35,36,17,18,17,17,17,92,92,92,82,3
2023-07-18,36,36,36,36,17,18,17,17,17,92,92,92,81,3
2023-07-18,37,37,37,37,17,18,17,17,17,92,92,92,81,3
2023-07-18,36,36,36,36,18,18,18,17,17,92,92,92,82,2
2023-07-18,37,37,37,37,18,18,18,17,17,92,92,92,82,2
2023-07-18,37,37,37,36,17,18,17,17,17,92,92,92,82,2
2023-07-18,36,36,36,35,17,18,17,17,17,92,92,92,82,2
2023-07-18,37,37,37,37,17,18,17,17,17,92,92,92,82,2
2023-07-18,37,37,37,36,17,18,17,17,17,92,92,92,82,2
2023-07-19,37,37,37,35,17,18,17,17,17,92,92,92,82,2
2023-07-19,37,37,37,36,17,18,17,17,17,92,92,92,82,2
2023-07-19,37,37,37,34,17,18,17,17,17,92,92,92,82,2
2023-07-19,37,37,37,35,17,18,17,17,18,92,92,92,83,2
2023-07-19,37,37,37,36,17,18,17,17,17,92,92,92,82,2
2023-07-19,38,38,38,36,17,18,17,17,17,92,92,92,82,2
2023-07-19,38,38,38,36,17,18,17,17,18,92,92,92,83,2
2023-07-19,38,38,38,35,17,18,17,17,18,92,92,92,83,2
2023-07-19,39,39,39,36,17,18,17,17,18,92,92,92,83,2
2023-07-19,37,37,38,37,17,18,17,17,18,92,92,92,83,2
2023-07-19,36,36,36,37,17,18,17,17,18,92,92,92,83,2
2023-07-19,37,37,37,37,17,18,17,17,18,92,92,92,83,2
2023-07-19,37,38,37,38,18,18,18,18,18,92,92,92,83,2
2023-07-19,37,37,38,37,18,18,18,18,18,92,92,92,83,2
2023-07-19,38,36,38,37,18,18,18,17,18,92,92,92,83,2
2023-07-19,38,38,37,37,18,18,18,18,18,92,92,92,82,2
2023-07-19,37,36,37,38,18,18,18,18,18,92,92,92,82,2
2023-07-19,38,37,38,38,18,18,18,18,18,92,92,92,82,2
2023-07-19,36,36,38,37,18,18,18,18,18,92,92,92,82,2
2023-07-19,37,36,38,37,18,18,18,18,18,92,92,92,82,2
2023-07-19,36,38,36,36,18,18,18,18,18,92,92,92,82,2
2023-07-19,36,38,36,38,18,18,18,18,18,92,92,92,81,3
2023-07-19,36,37,37,37,18,18,18,18,18,92,92,92,81,3
2023-07-19,36,37,36,36,18,18,18,18,18,92,92,92,81,3
2023-07-20,37,38,37,37,18,18,18,18,18,92,92,92,81,2
2023-07-20,38,37,38,38,18,18,18,18,18,92,92,92,81,2
2023-07-20,38,37,38,37,18,18,18,18,18,92,92,92,81,2
2023-07-20,36,36,37,38,18,18,18,18,18,92,92,92,81,2
2023-07-20,38,36,37,36,18,18,18,18,18,92,92,92,81,2
2023-07-20,36,37,36,36,18,18,18,18,18,92,92,92,81,2
2023-07-20,36,36,36,37,18,18,18,18,18,92,92,92,81,2
2023-07-20,37,38,38,37,18,18,18,18,18,92,92,92,81,2
2023-07-20,37,36,37,37,18,18,18,18,18,92,92,92,81,2
2023-07-20,36,36,38,38,18,18,18,18,18,92,92,92,82,2
2023-07-20,37,37,37,37,18,18,18,18,18,92,92,92,82,2
2023-07-20,38,36,36,36,18,18,18,18,18,92,92,92,82,2
2023-07-20,38,37,38,37,18,18,18,18,18,92,92,92,82,2
2023-07-20,37,36,36,37,18,18,18,18,18,92,92,92,82,2
2023-07-20,38,37,38,37,18,18,18,18,18,92,92,92,82,2
2023-07-20,36,36,36,38,18,18,18,18,18,92,92,92,83,2
2023-07-20,38,38,36,36,18,18,18,18,18,92,92,92,83,2
2023-07-20,37,37,37,37,18,18,18,18,18,92,92,92,83,2
2023-07-20,38,38,36,38,18,18,18,18,18,92,92,92,82,2
2023-07-20,38,37,36,37,18,18,18,18,18,92,92,92,82,2
2023-07-20,38,36,37,36,18,18,18,18,18,92,92,92,82,2
2023-07-20,37,37,36,38,18,18,18,18,18,92,92,92,80,2
2023-07-20,36,36,38,38,18,18,18,18,18,92,92,92,80,2
2023-07-20,38,38,36,37,18,18,18,18,18,92,92,92,80,2
2023-07-21,38,38,36,38,18,18,18,18,18,92,92,92,80,2
2023-07-21,36,38,38,37,18,18,18,18,18,92,92,92,80,2
2023-07-21,38,37,38,38,18,18,18,18,18,92,92,92,79,2
2023-07-21,37,36,37,38,18,18,18,18,18,92,92,92,79,2
2023-07-21,38,38,37,36,18,18,18,18,18,92,92,92,79,2
2023-07-21,38,38,36,38,18,18,18,18,17,92,92,92,79,2
